Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Aruba,ABW,0,0,0,0,17342.4719395745,16441.3812596351,16586.1922970903,17927.4120263906,19081.570288414,19356.4208651472,20619.5658496388,20671.545738502,20433.6541088167,20834.9397101237,22566.6821576324,23302.8319880055,24015.4206122701,25921.5382341406,27549.8894224976,24640.4212441218,24289.1415161326,25353.7875446441,0,0,0
Andorra,AND,18876.729351928,19530.8435047204,20541.7738959473,16508.8752202349,16226.971079738,18460.007428295,19038.7988311469,18405.3200974733,18969.9779859045,19323.8925471569,21432.9600712136,21897.6629394768,24175.3727542522,31742.9925847537,37235.4500323146,39990.3304085679,42417.2291456984,47253.5297963111,46735.9995745016,42701.447136255,39639.386021211,41630.0525792977,39666.3692147448,42806.5225532934,0
Afghanistan,AFG,0,0,0,0,0,0,0,0,0,0,0,119.8990371116,192.1535282788,203.6510409232,224.9147121934,257.1757946563,280.2456441069,380.4009551866,384.1316812768,458.9557815858,569.9407287933,622.3796543585,690.842629015,666.7950510965,633.5692469519
Angola,AGO,901.1076018335,1265.6273094499,872.7676639997,825.6981351378,823.8855437082,380.8719231095,560.6755165948,554.252232901,454.2965495189,421.3767773336,606.2722922443,574.1941611374,948.8443995727,1067.1789161539,1361.7442252858,2063.9222021292,2825.0734902496,3402.1459800335,4462.1253508558,3565.1815885091,3928.8245135436,5053.7386489293,5531.7762986967,5900.5295698989,0
Albania,ALB,639.4638992899,348.711317787,218.4921659026,380.5273710843,619.0651634471,760.5593757741,1046.3585105892,749.5846489725,865.3021618451,1098.4254633894,1175.788980734,1326.9703392934,1453.6427766085,1890.6815574354,2416.5882350701,2709.142930562,3005.0129033756,3603.0136852028,4370.5396465316,4114.1365448197,4094.3588320382,4437.8119990023,4247.485436815,4411.2582405607,4564.3903386929
Arab World,ARB,2000.0038070485,1914.3232544694,2012.9835579097,1983.8219143242,1978.178409989,2059.8817823007,2224.0315110609,2307.4731866047,2178.5803702173,2323.3287163842,2597.3637475186,2502.4941634753,2469.6781110531,2728.4039614689,3130.3770675571,3763.0712861349,4358.297285838,4985.822104241,6171.0312850115,5209.1449157007,5955.0647563847,6911.5668593506,7502.7284361151,7536.4778018586,7446.7669199684
United Arab Emirates,ARE,27989.301267604,26945.6591464759,26864.1881075461,26141.3306464453,26495.8215612079,27973.7428158486,29813.3723096431,30378.5453428093,27681.310528386,29278.7686208249,34207.5389498903,32105.6478664635,32355.4095972427,34294.8939976005,37179.6818919642,40298.5242178562,42950.1005841305,42913.7840342254,45720.0178979792,32905.0538494054,34341.9112921486,39901.2209155518,41712.1242109135,42831.0891322689,43962.7136932011
Argentina,ARG,4318.7745675551,5715.5040522025,6798.0271667107,6940.3513753902,7449.4806053363,7373.4274028801,7683.5738479082,8172.6652353431,8248.7647199027,7736.3725779273,7669.2737085843,7170.6896981936,2579.2016382104,3330.4098205646,4696.0701108867,5640.8485028359,6639.9094346175,8239.1371613464,9999.0935169352,9231.38290042,11198.6425666859,13392.9169036445,14357.4115893903,14443.0656513599,12509.5311180615
Armenia,ARM,636.6806899965,589.0029482239,368.9168367934,356.5073514422,399.7512025223,455.5502760862,503.2319696202,522.5220720402,608.3366487308,596.505996304,621.4248263189,692.3016308889,779.8296261316,924.4640098178,1181.9684454224,1625.4077691268,2126.6186610718,3080.9709594357,3919.9754738106,2915.5839059087,3124.784017862,3417.1718359992,3565.5175749254,3716.8289225446,3873.5335658068
American Samoa,ASM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,ATG,6325.2409048394,6575.4804987645,6680.3758704002,7037.9391539286,7514.4836797729,7230.3206365153,7702.6702836369,8027.6311309648,8355.6186431965,8572.3734807782,10094.7590646488,9797.968712774,10027.8562205839,10382.6309004545,10993.3692472668,12079.8656950416,13599.908857304,15276.0682646698,15786.1728395062,13979.2626925883,13017.3103875487,12817.8415733094,13525.616220134,13342.0849977054,13432.0793301552
Australia,AUS,18221.6912110476,18836.7805847441,18591.2205236257,17657.2442411201,18079.2639426659,20360.1822127719,21917.7192180061,23522.7787661215,21340.0621127075,20536.4123093012,21665.1154539573,19495.1459333809,20059.4520721372,23440.0053221856,30440.8548786229,33982.9504271591,36084.8589777475,40957.8304392487,49628.1151270179,42715.1322619629,51845.6548605562,62216.5471294133,67646.1038529626,67652.6832146189,61979.8962947626
Austria,AUT,21628.760231013,22356.923917186,24820.2278258852,24023.515467019,25584.9178245938,30252.7946924041,29742.4288063177,26646.8839392444,27289.6307093023,27116.6760790806,24517.2674460147,24489.7355313151,26351.3756769542,32102.9305523558,36693.4026205182,38242.0425174699,40430.993614499,46586.6502529235,51386.3766511975,47654.1872090808,46659.8408181344,51123.5613291663,48324.2540367606,50557.8038059874,51122.4253136062
Azerbaijan,AZE,1237.324491677,1209.2374928496,676.1515114525,530.0903798068,436.190558582,397.1981161172,409.2167452168,505.5605732289,561.9103017355,573.8902561721,655.0974326026,703.6712504399,763.1012122204,883.614008968,1045.0264152764,1578.3673303067,2473.0857763684,3851.4378687117,5574.6038021861,4950.2947914238,5842.8057835858,7189.6912292077,7393.7718769762,7811.6214184582,7886.4591436727
Burundi,BDI,201.6876562549,202.6934403299,183.7173203793,155.9216027018,150.8028052231,160.3499893229,137.2141027103,151.53210431,137.2515027945,121.9977307821,128.635536499,126.2170813087,115.2798803225,106.0169747292,119.4601350128,140.8151355984,154.9245257131,159.2654713115,182.6878012523,190.3942036666,214.2309908401,240.6144834591,244.1964862315,259.3652081502,286.002335873
Belgium,BEL,20710.6639265195,21154.3118295821,23497.7496151112,22403.2380009978,24338.1606937986,28565.9461495143,27701.8519735545,25027.7778163399,25541.7182931865,25444.1392583071,23207.4059110078,23121.566347019,25052.3302823,30743.9569254283,35589.7129457001,36967.2829204297,38852.3610339939,44403.8313061102,48424.5892730273,44880.5601517887,44382.8797683492,47699.8070518961,44731.2194794638,46625.3175174923,47327.6204608156
Benin,BEN,391.893446781,383.2953743404,315.2183091047,407.4501585468,276.1591189101,362.4709682601,382.2854632583,356.5782436095,375.0240903502,399.0492558342,369.7008680893,373.5536136218,411.9590752818,509.4610886978,570.6855013338,587.0802124228,609.0186086816,685.5516751077,794.8701760641,768.0134764477,732.9536227267,799.0355591314,807.6884510172,882.63863328,903.4649240077
Burkina Faso,BFA,351.9792490941,346.4104427802,240.9634032261,244.1271501687,193.0702756343,235.8322440461,249.3587558682,229.4880612953,255.7096310271,267.186160931,226.8016078245,235.5079324878,260.8084340357,332.4237686782,371.3951961389,406.998837384,422.4799379752,474.7109451446,569.0142638008,551.8432409126,574.4580892937,665.8074466938,673.0267834254,708.8416819114,713.0638896588
